------width:10-10 offset:2000-3999
offset:2045 width:10 crashed
offset:2184 width:10 crashed
offset:2203 width:10 crashed
------width:9-9 offset:2000-3999
offset:2134 width:9 crashed
offset:2168 width:9 crashed
offset:2271 width:9 crashed
offset:2338 width:9 crashed
offset:2371 width:9 crashed
offset:2550 width:9 crashed
offset:2562 width:9 crashed
offset:2675 width:9 crashed
offset:2702 width:9 crashed
offset:3469 width:9 crashed
offset:3662 width:9 crashed
offset:3697 width:9 crashed
offset:3848 width:9 crashed
------width:8-8 offset:2000-3999
offset:2011 width:8 crashed
offset:2105 width:8 crashed
offset:2186 width:8 crashed
offset:2599 width:8 crashed
offset:2794 width:8 crashed
offset:3094 width:8 crashed
offset:3104 width:8 crashed
offset:3438 width:8 crashed
offset:3685 width:8 crashed
offset:3864 width:8 crashed
offset:3960 width:8 crashed
------width:7-7 offset:2000-3999
offset:2069 width:7 crashed
offset:2184 width:7 crashed
offset:2293 width:7 crashed
offset:2301 width:7 crashed
offset:2332 width:7 crashed
offset:2580 width:7 crashed
offset:2638 width:7 crashed
offset:2842 width:7 crashed
offset:2908 width:7 crashed
offset:2911 width:7 crashed
offset:2921 width:7 crashed
offset:2934 width:7 crashed
offset:2978 width:7 crashed
offset:3122 width:7 crashed
offset:3276 width:7 crashed
offset:3405 width:7 crashed
offset:3589 width:7 crashed
offset:3594 width:7 crashed
offset:3636 width:7 crashed
offset:3681 width:7 crashed
offset:3684 width:7 crashed
offset:3730 width:7 crashed
offset:3864 width:7 crashed
offset:3981 width:7 crashed
offset:3988 width:7 crashed
------width:6-6 offset:2000-3999
offset:2063 width:6 crashed
offset:2096 width:6 crashed
offset:2152 width:6 crashed
offset:2251 width:6 crashed
offset:2291 width:6 crashed
offset:2331 width:6 crashed
offset:2380 width:6 crashed
offset:2387 width:6 crashed
offset:2420 width:6 crashed
offset:2631 width:6 crashed
offset:2678 width:6 crashed
offset:2711 width:6 crashed
offset:2717 width:6 crashed
offset:2748 width:6 crashed
offset:2819 width:6 crashed
offset:3011 width:6 crashed
offset:3122 width:6 crashed
offset:3260 width:6 crashed
offset:3304 width:6 crashed
offset:3377 width:6 crashed
offset:3403 width:6 crashed
offset:3503 width:6 crashed
------width:5-5 offset:2000-3999
offset:2048 width:5 crashed
offset:2121 width:5 crashed
offset:2148 width:5 crashed
offset:2251 width:5 crashed
offset:2338 width:5 crashed
offset:2552 width:5 crashed
offset:2670 width:5 crashed
offset:3074 width:5 crashed
offset:3253 width:5 crashed
offset:3257 width:5 crashed
offset:3258 width:5 crashed
offset:3351 width:5 crashed
offset:3499 width:5 crashed
offset:3566 width:5 crashed
offset:3724 width:5 crashed
offset:3872 width:5 crashed
------width:4-4 offset:2000-3999
offset:2096 width:4 crashed
offset:2110 width:4 crashed
offset:2175 width:4 crashed
offset:2184 width:4 crashed
offset:2356 width:4 crashed
offset:2615 width:4 crashed
offset:2704 width:4 crashed
offset:2740 width:4 crashed
------width:4-4 offset:2000-3999
offset:2043 width:4 crashed
offset:2110 width:4 crashed
offset:2213 width:4 crashed
offset:2242 width:4 crashed
offset:2265 width:4 crashed
offset:2343 width:4 crashed
offset:2414 width:4 crashed
offset:2449 width:4 crashed
offset:2684 width:4 crashed
offset:2884 width:4 crashed
offset:3074 width:4 crashed
offset:3500 width:4 crashed
offset:3687 width:4 crashed
offset:3994 width:4 crashed
------width:3-3 offset:2000-3999
offset:2020 width:3 crashed
offset:2148 width:3 crashed
offset:2200 width:3 crashed
offset:2432 width:3 crashed
offset:2609 width:3 crashed
offset:2703 width:3 crashed
offset:2911 width:3 crashed
offset:3097 width:3 crashed
offset:3113 width:3 crashed
offset:3314 width:3 crashed
offset:3691 width:3 crashed
offset:3743 width:3 crashed
offset:3947 width:3 crashed
